,0
Wearily,1
Waste,1
Wasting,1
Cautiously,3
Music,3
Account,2
Term,1
Twinkling,4
Mournfully,1
Quarrelled,1
Spoon,2
Concert,2
Given,1
Sing,5
Twinkle,5
Fly,3
Tray,1
Pinch,1
Bawled,1
Murdering,1
Exclaimed,6
Mournful,1
Sigh,4
Wash,2
Whiles,1
Interrupted,9
Yawning,2
Vote,1
Lady,3
Alarmed,1
Proposal,1
Pinched,2
Quick,1
Names,2
Lived,3
Bottom,4
Interest,1
Eating,1
Drinking,1
Treacle,5
Ill,2
Ways,1
Living,2
Opinion,1
Triumphantly,2
Helped,1
Sh,1
Sulkily,2
Interrupt,1
Consented,1
Learning,2
Promise,1
Clean,1
Unwillingly,1
Upset,3
Jug,1
Offend,1
Eh,1
Choosing,1
Interrupting,2
Rubbing,2
Closed,2
Doze,1
Woke,1
Trap,1
Moon,1
Memory,1
Muchness,3
Drawing,1
Rudeness,1
Disgust,1
Teapot,1
Stupidest,1
Leading,1
Today,1
Unlocking,1
Rose,5
Entrance,1
Roses,3
Gardener,8
Painting,2
Paint,1
Jogged,1
Blame,1
Deserved,1
Beheaded,3
Spoken,1
Tulip,1
Onion,1
Flung,1
Brush,1
Unjust,1
Chanced,1
Watching,3
Checked,3
Afore,1
Themselves,3
Flat,2
Faces,5
Eager,3
Soldier,11
Carrying,2
Club,1
Oblong,1
Courtier,2
Ornamented,2
Diamond,1
Royal,2
Merrily,1
Couples,1
Heart,3
Guest,3
Mostly,2
Recognised,1
Noticing,1
Crimson,2
Velvet,1
Procession,6
King,2
Queen,1
Hearts,1
Doubtful,2
Lie,2
Rule,4
Besides,3
Opposite,1
Smiled,2
Pack,5
Card,3
Pattern,1
Fury,1
Glaring,1
Bowing,1
Humble,1
Knee,5
Meanwhile,1
Examining,1
Remaining,1
Execute,1
Unfortunate,3
Protection,1
Pot,1
Marched,1
Evidently,1
Roared,1
Fine,2
Peeping,1
Whispered,5
Execution,5
Boxed,1
Scream,2
Laughter,1
Hush,1
Places,2
Thunder,1
Ridges,1
Furrow,2
Ball,1
Hedgehog,10
Mallet,1
Flamingoes,2
Double,1
Arches,4
Chief,1
Managing,1
Flamingo,5
Body,2
Tucked,3
Comfortably,1
Straightened,1
Expression,1
Bursting,1
Laughing,1
Provoking,1
Unrolled,2
Act,1
Crawling,1
Ridge,1
Send,1
Doubled,1
Part,3
Player,4
Played,1
Quarrelling,2
Fighting,1
Furious,1
Stamping,2
Shouting,2
Uneasy,1
Dispute,2
Beheading,1
Alive,3
Appearance,1
Nodded,1
Someone,1
Fairly,1
Complaining,1
Quarrel,1
Oneself,1
Attend,1
Arch,1
Croqueted,1
Win,1
Finishing,1
Kiss,1
Likes,1
Impertinent,1
Removed,2
Passing,1
Settling,1
Executioner,6
Screaming,1
Search,1
Engaged,1
Fight,2
Croqueting,1
Helpless,1
Collected,2
Appealed,1
Settle,1
Unless,2
Weren,1
Anxious,3
Prison,1
Arrow,1
Fading,1
Entirely,2
Disappeared,2
Wildly,2
Affectionately,1
Pleasant,1
Hopeful,1
Tempered,2
Vinegar,1
Sour,1
Camomile,1
Bitter,1
Barley,1
Sugar,2
Sweet,1
Stingy,1
Forget,2
Moral,9
Hasn,2
Tut,1
Squeezed,1
Closer,1
Keeping,2
Uncomfortably,1
Bore,1
Tis,2
Love,2
Minding,1
Waist,1
Experiment,2
Bite,2
Mustard,3
Flock,1
Mineral,1
Agree,2
Attended,1
Vegetable,1
Imagine,1
Cheap,1
Birthday,1
Dig,1
Dy,1
Favourite,1
Linked,1
Tremble,1
Thunderstorm,1
Fair,1
Warning,1
Choice,2
Absence,1
Shade,1
Delay,1
Cost,1
Whom,1
Sentenced,1
Custody,2
Company,1
Pardoned,1
Sun,2
Picture,1
Lazy,1
Leaving,1
Rubbed,1
Watched,2
Chuckled,1
Executes,1
Ledge,1
Rock,1
Sorrow,3
Hollow,1
Occasional,1
Exclamation,1
Heavy,2
Calmly,1
School,6
Sink,1
Mayn,1
Education,1
Proud,2
Extras,1
Learned,1
Relief,2
Bill,1
Extra,1
Afford,1
Regular,2
Inquired,1
Lifted,1
Uglifying,1
Beautify,1
Prettier,1
Uglify,1
Simpleton,1
Encouraged,1
Counting,1
Flapper,2
Ancient,1
Modern,1
Conger,1
Stiff,1
Crab,1
Hid,1
Lessen,1
Eleventh,1
Holiday,1
Twelfth,1
Games,1
Bone,1
Punching,1
Recovered,2
Cheek,1
Introduced,1
Lobster,9
Delightful,2
Dance,13
Form,1
Lines,1
Turtles,2
Salmon,1
Cleared,1
Jelly,1
Advance,3
Partner,2
Retire,1
Bound,1
Capering,1
Yelled,1
Land,1
Figure,3
Dropping,1
Pretty,1
Dancing,2
Treading,2
Toes,3
Forepaw,1
Mark,3
Whiting,8
Snail,3
Porpoise,4
Shingle,1
Join,9
Askance,1
Thanked,1
Kindly,2
Scaly,1
Beloved,1
Dinn,1
Thrown,1
Shiny,1
Blacking,1
Shrimp,1
Obliged,3
Anywhere,1
Journey,1
Purpose,1
Adventures,4
Impatient,1
Gained,1
Listener,1
Sluggard,1
Baked,1
Duck,1
Eyelid,1
Belt,1
Button,1
Edition,2
Gay,1
Lark,1
Contemptuous,1
Tones,2
Tide,1
Rises,1
Shark,1
Around,3
Tremulous,1
Uncommon,1
Explained,1
Persisted,2
Disobey,1
Sharing,1
Pie,3
Crust,1
Gravy,1
Meat,1
Share,1
Treat,1
Boon,1
Permitted,1
Received,1
Fork,1
Banquet,1
Accounting,1
Tastes,1
Rich,1
Tureen,1
Dainty,1
Evening,5
Ootiful,4
Oop,7
Cares,2
Ennyworth,1
Beauti,1
Ful,1
Trial,9
Panted,1
Faintly,1
Breeze,1
Seated,1
Throne,1
Arrived,1
Standing,1
Guard,1
Trumpet,3
Scroll,2
Parchment,2
Court,18
Refreshment,1
Pass,1
Justice,1
Judge,2
Wig,2
Wore,1
Frontispiece,1
Comfortable,1
Becoming,1
Jury,20
Juror,5
Rightly,1
Men,1
Slates,8
Indignant,1
Spectacles,3
Spell,1
Neighbour,1
Muddle,1
Pencil,3
Squeaked,1
Quickly,2
Accusation,1
Blew,2
Blast,2
Summer,2
Stole,1
Verdict,4
Witness,10
Teacup,5
Sent,2
Wrote,3
Dates,1
Reduced,1
Pence,1
Hat,1
Memorandum,1
Fidgeted,1
Evidence,6
Spot,1
Encourage,1
Shifting,1
Remain,1
Squeeze,1
Boldly,1
Reasonable,1
Pace,1
Ridiculous,1
Fashion,2
Officer,5
List,3
Singer,2
Thin,1
Dunce,1
Twinkled,1
Miserable,2
Speaker,1
Suppressed,4
Canvas,1
Bag,1
Ty,1
String,1
Newspaper,1
Applause,1
Understood,1
Lower,1
Examine,2
Folding,1
Shrieked,1
Undertone,2
Ache,1
Fumbled,1
Flurry,1
Tipped,1
Skirt,1
Upsetting,1
Jurymen,4
Sprawling,1
Reminding,1
Globe,1
Goldfish,2
Accidentally,1
Dismay,1
Accident,2
Vague,1
Die,1
Cannot,1
Emphasis,1
Haste,1
Unable,1
Shock,1
Diligently,1
Overcome,1
Gazing,1
Respectful,1
Unimportant,3
Note,2
Cackled,1
Mile,2
Invented,1
Oldest,1
Prisoner,2
Directed,2
Verses,4
Handwriting,1
